"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",0,0.1,0,0.646005146137098,0.0703041666652133,884,0.61656336918845,0.0658049134957413,23,0.0201681931037456,0.0898389684967697,0.0944675268605352,0.0660797792486846,4,4,5,5,1,4,1,0,1,2,12,1,1,2,9,1
"2",0,0.1,0,0.679342369477912,0.0326533065636672,326,0,0.0021559801943068,8,0.00851359688676894,0.0225436616456136,0.0274530522990972,0.0272305066231638,5,4,4,5,1,1,1,0,1,1,1,1,1,1,1,1
"3",0,0.1,0,0.661733060410434,0.0253409018994622,1438,0.0698086348965012,0.0126301016962314,29,0.0943839338840917,0.0943474958650768,0.0129158976720646,0.0833448815625161,4,5,5,4,3,4,1,2,5,11,1,2,4,9,1,2
"4",0,0.1,0,0.665713645027469,0.0701237402797577,902,0.1128301116446,0.0110939923149469,18,0.0602100674761459,0.0604394054040313,0.0124633444240317,0.0294600924244151,4,5,4,4,3,0,2,2,6,1,2,12,10,1,2,11
"5",0,0.1,0,0.674983079526227,0.0319489382165613,1247,0.0444134450209218,0.00916507741186293,30,0.0813574214931577,0.0260427771368995,0.0724405892658979,0.0906092151300982,5,4,4,4,3,1,3,2,1,30,16,3,1,27,15,2
"6",0,0.1,0,0.553617513571238,0.0088054196719795,1002,0.0334098064314248,0.00598215635273698,17,0.0104650127934292,0.0701057459227741,0.0527959984261543,0.0807935200864449,4,5,5,4,1,2,1,0,11,16,1,1,11,15,1,1
"7",0,0.1,0,0.66533010862186,0.0375786165364186,1552,0.142113205560237,0.0209810293329757,36,0.0807483389042318,0.0978075725259259,0.0957933716475964,0.0762731856433675,5,5,4,4,1,2,4,2,11,30,33,12,10,27,30,11
"8",0,0.1,0,0.682075847580412,0.0306336577649492,1033,0.416310891374099,0.0799653350493299,28,0.0243749390589073,0.0792010425822809,0.0340062352828681,0.0972062500659376,5,4,4,4,0,3,1,4,1,20,27,1,1,18,23,1
"9",0,0.1,0,0.556926392645862,0.0147502337779135,1255,0.0698758960899523,0.00712716726346413,23,0.0321509178960696,0.0718927504029125,0.0290873386897147,0.0932269813260064,4,4,5,5,2,2,1,2,2,17,9,8,2,17,9,8
"10",0,0.1,0,0.49508072653885,0.0107560490517814,819,0.069942399832629,0.00634223348750469,18,0.0443723587784916,0.0134076150367036,0.0390657789772376,0.0369315771851689,4,4,4,4,4,0,1,1,12,1,3,4,10,1,2,3
"101",0,0.1,0.05,0.472595907460283,0.0565012327060281,4792,0.0030432982562737,0.000754437624541377,116,0.0201681931037456,0.0898389684967697,0.0944675268605352,0.0660797792486846,4,4,5,5,1,2,2,1,80,8,16,3,68,18,23,8
"102",0,0.1,0.05,0.450981240981241,0.0548216584451367,5218,0.000446447282487848,0.000496252666193929,110,0.00851359688676894,0.0225436616456136,0.0274530522990972,0.0272305066231638,5,4,4,5,1,2,2,2,1,22,55,60,1,22,50,55
"103",0,0.1,0.05,0.501455137904945,0.0603871054206813,5006,0.0105928054968468,0.00345975220182621,124,0.0943839338840917,0.0943474958650768,0.0129158976720646,0.0833448815625161,4,5,5,4,1,4,1,1,3,58,7,46,3,2,7,44
"104",0,0.1,0.05,0.449914885304459,0.0512894372731418,5373,0.00155207757481814,0.000834170950023901,114,0.0602100674761459,0.0604394054040313,0.0124633444240317,0.0294600924244151,4,5,4,4,2,2,2,1,5,104,11,26,13,91,12,26
"105",0,0.1,0.05,0.485187171085294,0.063527531627631,5523,0.00124577149454069,0.000493960666361905,135,0.0813574214931577,0.0260427771368995,0.0724405892658979,0.0906092151300982,5,4,4,4,1,1,2,1,12,3,5,9,11,3,5,9
"106",0,0.1,0.05,0.524339812857255,0.0553168048676512,4363,0.0011446436277941,0.000711295988321768,108,0.0104650127934292,0.0701057459227741,0.0527959984261543,0.0807935200864449,4,5,5,4,1,1,2,1,7,13,1,44,7,13,1,38
"107",0,0.1,0.05,0.504774387642451,0.060531483086585,5146,0.0104895235091611,0.00196683838954213,121,0.0807483389042318,0.0978075725259259,0.0957933716475964,0.0762731856433675,5,5,4,4,2,2,3,2,6,52,13,20,6,49,13,20
"108",0,0.1,0.05,0.535574575280281,0.0705187276645236,5625,0.000999857657431298,0.000772809971218931,124,0.0243749390589073,0.0792010425822809,0.0340062352828681,0.0972062500659376,5,4,4,4,1,1,1,2,11,1,1,12,9,1,1,17
"109",0,0.1,0.05,0.561536514254788,0.0894269879271136,3603,0.00286550251148826,0.00153115065930095,122,0.0321509178960696,0.0718927504029125,0.0290873386897147,0.0932269813260064,4,4,5,5,1,2,1,2,7,45,12,24,12,38,31,17
"110",0,0.1,0.05,0.485249886501211,0.0531983146591056,5109,0.00171862160289253,0.00137055265808541,112,0.0443723587784916,0.0134076150367036,0.0390657789772376,0.0369315771851689,4,4,4,4,2,1,2,1,3,19,30,16,3,17,27,12
"201",0,0.1,0.1,0.51036312849162,0.105354881493663,8494,0.000831986531191653,0.000780447120533968,210,0.0201681931037456,0.0898389684967697,0.0944675268605352,0.0660797792486846,4,4,5,5,1,1,2,1,15,9,1,19,12,35,1,16
"202",0,0.1,0.1,0.498769742912453,0.107682020779787,8617,7.1245368639968e-05,0.000493117563497737,217,0.00851359688676894,0.0225436616456136,0.0274530522990972,0.0272305066231638,5,4,4,5,1,1,1,2,3,6,6,72,3,6,6,64
"203",0,0.1,0.1,0.534169317259849,0.130734776854633,8351,0.022711205708502,0.00279189763883865,237,0.0943839338840917,0.0943474958650768,0.0129158976720646,0.0833448815625161,4,5,5,4,2,2,1,1,12,1,14,12,10,1,12,10
